Gender,Age,Height (inches),Weight (lbs),How would you describe your weight?,,
Male,15,73,210,Slightly overweight,,
Female,19,65,148,About the right weight,,
Female,17,65,117,About the right weight,,
Male,15,68,135,About the right weight,,
Female,16,64,120,About the right weight,,
Male,18,67,170,Slightly underweight,,
Male,16,68,155,About the right weight,,
Female,18,64,150,Slightly overweight,,
Male,17,71,200,Very overweight,,
Female,19,67,118,,,
Male,17,69,170,About the right weight,,
Female,17,63,150,About the right weight,,
Male,17,70,170,Slightly overweight,,
Male,17,72,167,About the right weight,,
Female,15,60,86,Slightly underweight,,
Male,18,71,145,Slightly underweight,,
Male,18,74,230,Slightly overweight,,
Female,16,65,120,About the right weight,,
Female,16,67,140,Slightly overweight,,
Female,19,61,95,About the right weight,,
Female,18,67,125,About the right weight,,
Male,16,72,155,Slightly overweight,,
Female,18,63,135,About the right weight,,
Male,15,63,110,About the right weight,,
Female,18,65,125,Slightly overweight,,
Male,17,75,180,About the right weight,,
Male,19,75,175,About the right weight,,
Male,17,75,235,Slightly overweight,,
Male,15,73,125,About the right weight,,
Male,18,71,202,About the right weight,,
Male,17,70,150,About the right weight,,
Female,15,61,87,Very underweight,,
Female,17,61,99,About the right weight,,
Female,15,62,105,About the right weight,,
Male,15,72,188,About the right weight,,
Female,19,67,140,Slightly overweight,,
Male,17,65,132,About the right weight,,
Male,19,72,190,Slightly overweight,,
Female,15,63,119,About the right weight,,
Male,19,67,143,About the right weight,,
Female,17,66,140,Slightly overweight,,
Male,19,72,190,Slightly overweight,,
Male,17,68,146,About the right weight,,
Male,16,68,145,About the right weight,,
Female,18,67,130,Slightly overweight,,
Female,17,64,115,About the right weight,,
Female,15,64,120,About the right weight,,
Male,16,71,165,About the right weight,,
Male,20,74,235,Slightly overweight,,
Male,17,73,160,About the right weight,,
Female,19,69,160,Slightly overweight,,
Male,17,71,180,About the right weight,,
Female,16,64,140,About the right weight,,
Female,18,65,153,About the right weight,,
Female,15,63,120,Slightly overweight,,
Female,16,66,226,Very overweight,,
Male,15,62,98,About the right weight,,
Female,17,65,172,Slightly overweight,,
Male,19,79,210,Slightly underweight,,
Female,15,63,110,Slightly underweight,,
Female,19,66,134,About the right weight,,
Male,16,69,140,About the right weight,,
Female,15,62,130,About the right weight,,
Male,17,67,140,Slightly underweight,,
Male,16,69,240,Slightly overweight,,
Male,17,72,150,About the right weight,,
Female,16,63,160,Slightly overweight,,
Male,17,71,180,Slightly overweight,,
Female,15,63,107,About the right weight,,
Male,19,70,150,About the right weight,,
Male,19,68,140,Slightly underweight,,
Male,17,80,145,Slightly underweight,,
Male,15,68,140,About the right weight,,
Male,15,76,170,About the right weight,,
Female,19,62,150,About the right weight,,
Male,17,69,280,About the right weight,,
Male,17,66,132,Slightly underweight,,
Female,19,62,150,About the right weight,,
Female,18,62,111,About the right weight,,
Female,19,62,145,Slightly overweight,,
Male,17,68,145,Slightly underweight,,
Female,18,68,180,Slightly overweight,,
Female,17,70,162,About the right weight,,
Male,15,72,150,About the right weight,,
Male,17,67,140,Slightly underweight,,
Female,16,61,130,Slightly underweight,,
Male,15,68,155,About the right weight,,
Female,15,64,132,About the right weight,,
Male,17,68,150,About the right weight,,
Male,18,72,160,About the right weight,,
Male,17,74,157,About the right weight,,
Male,18,75,215,About the right weight,,
Male,19,70,210,Slightly overweight,,
Female,18,70,170,Slightly overweight,,
Male,16,71,170,About the right weight,,
Male,16,71,135,About the right weight,,
Male,17,71,150,About the right weight,,
Female,19,63,140,Slightly overweight,,
Male,17,72,175,Slightly overweight,,
Female,15,66,210,Very overweight,,
Female,16,64,130,About the right weight,,
Male,19,71,180,About the right weight,,
Female,15,62,128,Slightly overweight,,
Male,18,75,180,About the right weight,,
Female,15,70,130,About the right weight,,
Female,18,63,130,About the right weight,,
Female,19,64,135,Slightly overweight,,
Female,15,64,123,Slightly overweight,,
Male,17,76,220,About the right weight,,
Male,18,65,123,Slightly underweight,,
Female,18,63,95,About the right weight,,
Female,14,66,135,Slightly overweight,,
Female,17,69,160,Slightly overweight,,
Female,17,67,125,About the right weight,,
Male,17,71,125,About the right weight,,
Male,17,70,131,Slightly underweight,,
Male,19,73,155,Slightly underweight,,
Male,17,70,155,About the right weight,,
Male,18,74,190,About the right weight,,
Female,16,63,130,Slightly overweight,,
Female,16,66,135,About the right weight,,
Male,17,73,138,About the right weight,,
Female,14,65,185,About the right weight,,
Male,16,68,145,About the right weight,,
Male,16,73,189,About the right weight,,
Female,17,62,140,Slightly overweight,,
Female,15,68,170,Slightly overweight,,
Female,19,65,117,About the right weight,,
Male,17,70,190,Slightly overweight,,
Male,16,75,235,Slightly overweight,,
Female,17,66,115,About the right weight,,
Male,17,74,170,About the right weight,,
Female,18,60,120,About the right weight,,
Male,19,70,130,Slightly underweight,,
Male,18,69,160,About the right weight,,
Male,16,73,177,Slightly overweight,,
Male,15,70,155,About the right weight,,
Female,18,63,110,Slightly underweight,,
Male,15,72,150,About the right weight,,
Female,19,68,150,Slightly overweight,,
Female,15,62,115,About the right weight,,
Female,15,67,125,About the right weight,,
Female,17,63,140,Slightly overweight,,
Female,16,63,105,About the right weight,,
Female,16,67,-1,Slightly overweight,,
Male,15,67,130,About the right weight,,
Male,18,67,175,Slightly overweight,,
Female,17,62,117,About the right weight,,
Male,15,67,147,About the right weight,,
Male,18,72,160,About the right weight,,
Male,14,62,110,About the right weight,,
Male,17,67,135,About the right weight,,
Male,19,71,180,About the right weight,,
Male,16,72,155,About the right weight,,
Female,17,68,105,About the right weight,,
Male,18,71,165,About the right weight,,
Male,16,72,160,About the right weight,,
Male,17,71,145,About the right weight,,
Female,17,68,130,About the right weight,,
Female,16,64,115,About the right weight,,
Female,18,65,115,Slightly overweight,,
Male,16,71,145,About the right weight,,
Male,18,67,155,About the right weight,,
Male,17,69,140,Slightly underweight,,
Female,15,62,102,Slightly underweight,,
Female,16,66,132,About the right weight,,
Male,17,71,155,About the right weight,,
Male,19,75,210,Slightly overweight,,
Male,16,71,165,About the right weight,,
Female,17,63,162,About the right weight,,
Male,16,68,178,About the right weight,,
Female,19,67,145,About the right weight,,
Male,18,72,155,About the right weight,,
Female,18,71,130,About the right weight,,
Female,16,68,122,Slightly underweight,,
Female,19,67,110,Slightly underweight,,
Female,15,63,142,About the right weight,,
Female,18,66,153,About the right weight,,
Female,17,61,132,Slightly overweight,,
Male,16,65,173,Slightly overweight,,
Female,18,65,114,Slightly underweight,,
Male,19,69,135,Slightly underweight,,
Male,15,65,132,About the right weight,,
Female,19,65,162,About the right weight,,
Female,19,67,180,Slightly overweight,,
Male,14,67,114,About the right weight,,
Female,19,64,122,Slightly underweight,,
Female,17,64,129,About the right weight,,
Male,16,70,155,About the right weight,,
Female,16,66,140,Slightly overweight,,
Male,17,67,110,Very underweight,,
Male,15,70,165,About the right weight,,
Female,16,67,135,About the right weight,,
Female,16,69,125,About the right weight,,
Male,15,67,120,Slightly underweight,,
